Career,Math,Prog,R,I,A,S,E,C
"Bus Drivers, School",50,10,30,30,30,30,30,30
"Bus Drivers, Transit and Intercity",50,10,30,30,30,30,30,30
Business Continuity Planners,50,10,30,30,30,30,30,30
Business Intelligence Analysts,50,10,30,30,30,30,30,30
"Business Operations Specialists, All Other",50,10,30,30,30,30,30,30
"Business Teachers, Postsecondary",50,10,30,30,30,30,30,30
Butchers and Meat Cutters,50,10,30,30,30,30,30,30
"Buyers and Purchasing Agents, Farm Products",50,10,30,30,30,30,30,30
Cabinetmakers and Bench Carpenters,50,10,30,30,30,30,30,30
Calibration Technologists and Technicians,50,10,30,30,30,30,30,30
Camera and Photographic Equipment Repairers,50,10,30,30,30,30,30,30
"Camera Operators, Television, Video, and Film",50,10,30,30,30,30,30,30
"Captains, Mates, and Pilots of Water Vessels",50,10,30,30,30,30,30,30
Cardiologists,50,10,30,30,30,30,30,30
Cardiovascular Technologists and Technicians,50,10,30,30,30,30,30,30
"Career/Technical Education Teachers, Middle School",50,10,30,30,30,30,30,30
"Career/Technical Education Teachers, Postsecondary",50,10,30,30,30,30,30,30
"Career/Technical Education Teachers, Secondary School",50,10,30,30,30,30,30,30
Cargo and Freight Agents,50,10,30,30,30,30,30,30
Carpenters,50,10,30,30,30,30,30,30
Carpet Installers,50,10,30,30,30,30,30,30
Cartographers and Photogrammetrists,50,10,30,30,30,30,30,30
Cashiers,50,10,30,30,30,30,30,30
Cement Masons and Concrete Finishers,50,10,30,30,30,30,30,30
Chefs and Head Cooks,50,10,30,30,30,30,30,30
Chemical Engineers,50,10,30,30,30,30,30,30
Chemical Equipment Operators and Tenders,50,10,30,30,30,30,30,30
Chemical Plant and System Operators,50,10,30,30,30,30,30,30
Chemical Technicians,50,10,30,30,30,30,30,30
"Chemistry Teachers, Postsecondary",50,10,30,30,30,30,30,30
Chemists,50,10,30,30,30,30,30,30
Chief Executives,50,10,30,30,30,30,30,30
Chief Sustainability Officers,50,10,30,30,30,30,30,30
"Child, Family, and School Social Workers",50,10,30,30,30,30,30,30
Childcare Workers,50,10,30,30,30,30,30,30
Chiropractors,50,10,30,30,30,30,30,30
Choreographers,50,10,30,30,30,30,30,30
Civil Engineering Technologists and Technicians,50,10,30,30,30,30,30,30
Civil Engineers,50,10,30,30,30,30,30,30
"Claims Adjusters, Examiners, and Investigators",50,10,30,30,30,30,30,30
Cleaners of Vehicles and Equipment,50,10,30,30,30,30,30,30
"Cleaning, Washing, and Metal Pickling Equipment Operators and Tenders",50,10,30,30,30,30,30,30
Clergy,50,10,30,30,30,30,30,30
Climate Change Policy Analysts,50,10,30,30,30,30,30,30
Clinical and Counseling Psychologists,50,10,30,30,30,30,30,30
Clinical Data Managers,50,10,30,30,30,30,30,30
Clinical Neuropsychologists,50,10,30,30,30,30,30,30
Clinical Nurse Specialists,50,10,30,30,30,30,30,30
Clinical Research Coordinators,50,10,30,30,30,30,30,30
Coaches and Scouts,50,10,30,30,30,30,30,30
"Coating, Painting, and Spraying Machine Setters, Operators, and Tenders",50,10,30,30,30,30,30,30
"Coil Winders, Tapers, and Finishers",50,10,30,30,30,30,30,30
"Coin, Vending, and Amusement Machine Servicers and Repairers",50,10,30,30,30,30,30,30
Command and Control Center Officers,50,10,30,30,30,30,30,30
Command and Control Center Specialists,50,10,30,30,30,30,30,30
Commercial and Industrial Designers,50,10,30,30,30,30,30,30
Commercial Divers,50,10,30,30,30,30,30,30
Commercial Pilots,50,10,30,30,30,30,30,30
"Communications Equipment Operators, All Other",50,10,30,30,30,30,30,30
"Communications Teachers, Postsecondary",50,10,30,30,30,30,30,30
"Community and Social Service Specialists, All Other",50,10,30,30,30,30,30,30
Community Health Workers,50,10,30,30,30,30,30,30
Compensation and Benefits Managers,50,10,30,30,30,30,30,30
"Compensation, Benefits, and Job Analysis Specialists",50,10,30,30,30,30,30,30
Compliance Managers,50,10,30,30,30,30,30,30
Compliance Officers,50,10,30,30,30,30,30,30
Computer and Information Research Scientists,50,10,30,30,30,30,30,30
Computer and Information Systems Managers,50,10,30,30,30,30,30,30
Computer Hardware Engineers,50,10,30,30,30,30,30,30
Computer Network Architects,50,10,30,30,30,30,30,30
Computer Network Support Specialists,50,10,30,30,30,30,30,30
Computer Numerically Controlled Tool Operators,50,10,30,30,30,30,30,30
Computer Numerically Controlled Tool Programmers,50,10,30,30,30,30,30,30
"Computer Occupations, All Other",50,10,30,30,30,30,30,30
Computer Programmers,50,10,30,30,30,30,30,30
"Computer Science Teachers, Postsecondary",50,10,30,30,30,30,30,30
Computer Systems Analysts,50,10,30,30,30,30,30,30
Computer Systems Engineers/Architects,50,10,30,30,30,30,30,30
Computer User Support Specialists,50,10,30,30,30,30,30,30
"Computer, Automated Teller, and Office Machine Repairers",50,10,30,30,30,30,30,30
Concierges,50,10,30,30,30,30,30,30
Conservation Scientists,50,10,30,30,30,30,30,30
Construction and Building Inspectors,50,10,30,30,30,30,30,30
"Construction and Related Workers, All Other",50,10,30,30,30,30,30,30
Construction Laborers,50,10,30,30,30,30,30,30
Construction Managers,50,10,30,30,30,30,30,30
Continuous Mining Machine Operators,50,10,30,30,30,30,30,30
"Control and Valve Installers and Repairers, Except Mechanical Door",50,10,30,30,30,30,30,30
Conveyor Operators and Tenders,50,10,30,30,30,30,30,30
"Cooks, All Other",50,10,30,30,30,30,30,30
"Cooks, Fast Food",50,10,30,30,30,30,30,30
"Cooks, Institution and Cafeteria",50,10,30,30,30,30,30,30
"Cooks, Private Household",50,10,30,30,30,30,30,30
"Cooks, Restaurant",50,10,30,30,30,30,30,30
"Cooks, Short Order",50,10,30,30,30,30,30,30
Cooling and Freezing Equipment Operators and Tenders,50,10,30,30,30,30,30,30
Coroners,50,10,30,30,30,30,30,30
Correctional Officers and Jailers,50,10,30,30,30,30,30,30
Correspondence Clerks,50,10,30,30,30,30,30,30
Cost Estimators,50,10,30,30,30,30,30,30
Costume Attendants,50,10,30,30,30,30,30,30
"Counselors, All Other",50,10,30,30,30,30,30,30
Counter and Rental Clerks,50,10,30,30,30,30,30,30
Couriers and Messengers,50,10,30,30,30,30,30,30
Court Reporters and Simultaneous Captioners,50,10,30,30,30,30,30,30
"Court, Municipal, and License Clerks",50,10,30,30,30,30,30,30
Craft Artists,50,10,30,30,30,30,30,30
Crane and Tower Operators,50,10,30,30,30,30,30,30
Credit Analysts,50,10,30,30,30,30,30,30
"Credit Authorizers, Checkers, and Clerks",50,10,30,30,30,30,30,30
Credit Counselors,50,10,30,30,30,30,30,30
Crematory Operators,50,10,30,30,30,30,30,30
"Criminal Justice and Law Enforcement Teachers, Postsecondary",50,10,30,30,30,30,30,30
Critical Care Nurses,50,10,30,30,30,30,30,30
Crossing Guards and Flaggers,50,10,30,30,30,30,30,30
"Crushing, Grinding, and Polishing Machine Setters, Operators, and Tenders",50,10,30,30,30,30,30,30
Curators,50,10,30,30,30,30,30,30
Customer Service Representatives,50,10,30,30,30,30,30,30
Customs and Border Protection Officers,50,10,30,30,30,30,30,30
Customs Brokers,50,10,30,30,30,30,30,30
"Cutters and Trimmers, Hand",50,10,30,30,30,30,30,30
"Cutting and Slicing Machine Setters, Operators, and Tenders",50,10,30,30,30,30,30,30
"Cutting, Punching, and Press Machine Setters, Operators, and Tenders, Metal and Plastic",50,10,30,30,30,30,30,30
Cytogenetic Technologists,50,10,30,30,30,30,30,30
Cytotechnologists,50,10,30,30,30,30,30,30
Dancers,50,10,30,30,30,30,30,30
Data Entry Keyers,50,10,30,30,30,30,30,30
Data Scientists,50,10,30,30,30,30,30,30
Data Warehousing Specialists,50,10,30,30,30,30,30,30
Database Administrators,50,10,30,30,30,30,30,30
Database Architects,50,10,30,30,30,30,30,30
Demonstrators and Product Promoters,50,10,30,30,30,30,30,30
Dental Assistants,50,10,30,30,30,30,30,30
Dental Hygienists,50,10,30,30,30,30,30,30
Dental Laboratory Technicians,50,10,30,30,30,30,30,30
"Dentists, All Other Specialists",50,10,30,30,30,30,30,30
"Dentists, General",50,10,30,30,30,30,30,30
Dermatologists,50,10,30,30,30,30,30,30
"Derrick Operators, Oil and Gas",50,10,30,30,30,30,30,30
"Designers, All Other",50,10,30,30,30,30,30,30
Desktop Publishers,50,10,30,30,30,30,30,30
Detectives and Criminal Investigators,50,10,30,30,30,30,30,30
Diagnostic Medical Sonographers,50,10,30,30,30,30,30,30
Dietetic Technicians,50,10,30,30,30,30,30,30
Dietitians and Nutritionists,50,10,30,30,30,30,30,30
Digital Forensics Analysts,50,10,30,30,30,30,30,30
Dining Room and Cafeteria Attendants and Bartender Helpers,50,10,30,30,30,30,30,30
"Directors, Religious Activities and Education",50,10,30,30,30,30,30,30
"Disc Jockeys, Except Radio",50,10,30,30,30,30,30,30
Dishwashers,50,10,30,30,30,30,30,30
"Dispatchers, Except Police, Fire, and Ambulance",50,10,30,30,30,30,30,30
Document Management Specialists,50,10,30,30,30,30,30,30
"Door-to-Door Sales Workers, News and Street Vendors, and Related Workers",50,10,30,30,30,30,30,30
"Drafters, All Other",50,10,30,30,30,30,30,30
Dredge Operators,50,10,30,30,30,30,30,30
"Drilling and Boring Machine Tool Setters, Operators, and Tenders, Metal and Plastic",50,10,30,30,30,30,30,30
Driver/Sales Workers,50,10,30,30,30,30,30,30
Drywall and Ceiling Tile Installers,50,10,30,30,30,30,30,30
"Earth Drillers, Except Oil and Gas",50,10,30,30,30,30,30,30
"Economics Teachers, Postsecondary",50,10,30,30,30,30,30,30
Economists,50,10,30,30,30,30,30,30
Editors,50,10,30,30,30,30,30,30
"Education Administrators, All Other",50,10,30,30,30,30,30,30
"Education Administrators, Kindergarten through Secondary",50,10,30,30,30,30,30,30
"Education Administrators, Postsecondary",50,10,30,30,30,30,30,30
"Education and Childcare Administrators, Preschool and Daycare",50,10,30,30,30,30,30,30
"Education Teachers, Postsecondary",50,10,30,30,30,30,30,30
"Educational Instruction and Library Workers, All Other",50,10,30,30,30,30,30,30
"Educational, Guidance, and Career Counselors and Advisors",50,10,30,30,30,30,30,30
"Electric Motor, Power Tool, and Related Repairers",50,10,30,30,30,30,30,30
Electrical and Electronic Engineering Technologists and Technicians,50,10,30,30,30,30,30,30
Electrical and Electronic Equipment Assemblers,50,10,30,30,30,30,30,30
Electrical and Electronics Drafters,50,10,30,30,30,30,30,30
"Electrical and Electronics Installers and Repairers, Transportation Equipment",50,10,30,30,30,30,30,30
"Electrical and Electronics Repairers, Commercial and Industrial Equipment",50,10,30,30,30,30,30,30
"Electrical and Electronics Repairers, Powerhouse, Substation, and Relay",50,10,30,30,30,30,30,30
Electrical Engineers,50,10,30,30,30,30,30,30
Electrical Power-Line Installers and Repairers,50,10,30,30,30,30,30,30
Electricians,50,10,30,30,30,30,30,30
Electro-Mechanical and Mechatronics Technologists and Technicians,50,10,30,30,30,30,30,30
Electromechanical Equipment Assemblers,50,10,30,30,30,30,30,30
"Electronic Equipment Installers and Repairers, Motor Vehicles",50,10,30,30,30,30,30,30
"Electronics Engineers, Except Computer",50,10,30,30,30,30,30,30
"Elementary School Teachers, Except Special Education",50,10,30,30,30,30,30,30
Elevator and Escalator Installers and Repairers,50,10,30,30,30,30,30,30
"Eligibility Interviewers, Government Programs",50,10,30,30,30,30,30,30
