Student_ID,Age,Gender,Family_Income_Level,Location,Interest_Score,Motivation_Level,Self_Confidence,Stress_Level,Personality_Type,Decision_Making_Ability,Creativity_Index,Risk_Tolerance,GPA,Math_Score,Programming_Skill,Analytical_Skill,Communication_Skill,Internship_Count,Daily_Study_Time,Online_Course_Usage,Device_Usage_Time,Focus_Duration,Sleep_Hours,Activity_Level,Career_Preference
20,21,Other,Low,Urban,5,7,7,6,Ambivert,9,2,7,6.65,60,76,40,69,4,1.27,80,11.95,89,4.21,2,Researcher
21,23,Other,Medium,Urban,3,1,1,8,Extrovert,5,8,10,7.52,87,57,89,69,0,6.99,53,10.98,38,5.11,9,Entrepreneur
22,23,Male,Low,Rural,1,2,5,3,Ambivert,3,10,3,6.95,54,68,60,72,3,6.62,65,6.59,74,4.59,5,Software Engineer
23,19,Male,Low,Rural,6,6,1,9,Ambivert,10,4,6,8.95,56,83,53,79,0,8.4,94,10.08,106,6.18,8,Entrepreneur
24,21,Male,High,Urban,10,2,6,5,Extrovert,10,6,4,9.62,85,66,85,69,4,3.74,30,10.34,26,6.47,6,Government Job
25,22,Female,High,Rural,2,4,9,8,Extrovert,5,3,4,9.64,54,77,47,76,4,8.9,53,5.0,106,8.12,2,Entrepreneur
26,18,Male,Low,Urban,9,10,3,4,Introvert,3,9,9,8.42,54,59,94,92,1,8.72,15,7.86,19,6.83,1,Software Engineer
27,21,Male,Low,Urban,1,6,6,9,Ambivert,9,8,7,8.81,76,60,64,69,1,7.03,36,11.57,33,6.94,4,Researcher
28,19,Female,Medium,Rural,9,7,4,8,Ambivert,1,6,6,7.98,78,68,88,65,2,5.25,6,4.8,86,4.49,4,Software Engineer
29,23,Female,Medium,Urban,7,10,6,5,Ambivert,1,9,9,6.59,76,82,57,45,0,6.57,99,8.63,51,5.75,7,Business Analyst
30,22,Male,Low,Urban,10,5,2,3,Ambivert,3,10,3,8.54,81,54,54,93,0,7.57,0,8.63,42,7.98,2,Software Engineer
31,21,Male,High,Urban,2,8,4,1,Ambivert,6,9,4,7.4,74,61,81,95,4,9.78,93,6.53,58,6.92,4,Data Scientist
32,18,Male,Low,Rural,6,6,7,5,Extrovert,2,2,9,6.02,91,62,59,43,1,2.1,17,6.9,57,5.88,10,Researcher
33,18,Male,Low,Urban,8,5,6,5,Ambivert,1,9,4,8.3,99,43,55,54,3,3.82,41,6.56,83,6.16,1,Business Analyst
34,20,Other,High,Rural,2,4,9,4,Extrovert,8,8,7,6.79,83,98,46,75,4,8.03,38,7.21,86,4.58,7,Business Analyst
35,20,Other,High,Urban,5,6,7,10,Introvert,10,2,9,9.55,64,63,68,42,0,4.68,25,3.49,102,4.13,3,Software Engineer
36,24,Male,Medium,Urban,6,6,1,10,Ambivert,9,9,4,9.74,90,53,70,96,0,7.05,74,9.95,34,4.72,8,Business Analyst
37,19,Other,Medium,Urban,3,6,6,8,Introvert,10,5,9,6.65,83,76,68,55,4,2.2,64,8.61,113,5.48,1,Government Job
38,21,Female,Medium,Urban,2,1,3,3,Extrovert,1,9,7,6.12,84,94,56,55,4,7.38,56,11.74,20,5.42,1,Researcher
39,21,Other,Medium,Urban,6,6,8,10,Extrovert,3,3,4,6.02,69,93,44,79,4,7.07,68,4.46,83,7.52,9,Researcher
40,24,Other,High,Rural,3,1,1,9,Introvert,5,4,3,9.65,73,98,57,92,0,6.27,85,3.46,88,4.8,5,Entrepreneur
41,23,Male,Low,Rural,2,5,10,3,Ambivert,7,1,6,6.61,83,98,53,66,3,7.89,76,5.43,106,7.8,4,Entrepreneur
42,23,Other,Medium,Urban,1,7,2,4,Extrovert,10,5,3,7.74,83,60,70,95,0,8.92,16,7.1,26,7.55,4,Government Job
43,24,Other,Medium,Rural,8,1,3,6,Extrovert,4,7,7,6.23,95,94,89,45,4,8.46,6,4.05,29,4.76,8,Data Scientist
44,23,Other,High,Rural,1,1,3,9,Extrovert,6,7,1,7.49,76,82,57,60,1,2.15,70,6.61,81,7.3,9,Government Job
45,20,Other,High,Urban,5,6,7,10,Extrovert,1,6,7,9.14,99,91,86,52,3,7.7,11,8.43,101,5.64,7,Software Engineer
46,21,Female,Low,Rural,6,7,8,2,Extrovert,4,6,3,7.63,70,78,64,48,2,5.05,37,2.56,77,4.53,8,Business Analyst
47,24,Male,Low,Rural,3,6,9,2,Extrovert,8,8,9,9.1,82,52,50,80,0,4.0,86,9.58,50,7.11,2,Entrepreneur
48,21,Male,High,Rural,7,5,7,2,Introvert,5,10,6,8.76,88,58,65,82,3,8.92,47,11.4,21,7.97,10,Researcher
49,18,Female,Medium,Rural,2,6,8,5,Ambivert,8,9,7,8.07,89,95,44,47,3,6.04,54,4.68,15,8.81,7,Government Job
50,20,Other,Medium,Urban,7,3,6,6,Ambivert,1,4,9,8.95,93,65,55,67,4,5.51,53,9.76,86,6.75,4,Business Analyst
51,22,Female,Medium,Rural,2,9,2,3,Ambivert,10,4,6,9.52,85,75,47,84,3,8.06,71,6.18,105,6.83,8,Software Engineer
52,20,Other,Low,Urban,5,5,1,3,Ambivert,9,8,10,9.17,74,91,52,97,0,5.98,14,8.64,63,6.32,10,Business Analyst
53,24,Female,Medium,Urban,7,2,3,2,Introvert,4,5,2,8.77,56,83,97,58,1,8.72,29,9.43,36,5.54,8,Business Analyst
54,22,Male,Medium,Rural,3,10,9,6,Introvert,9,10,6,8.81,99,85,71,68,3,1.93,54,4.95,66,4.72,10,Data Scientist
55,18,Male,High,Urban,4,10,7,1,Ambivert,8,9,6,6.64,99,72,93,70,0,7.99,72,9.87,109,5.5,2,Software Engineer
56,24,Male,Medium,Rural,1,7,2,9,Extrovert,8,6,2,9.8,59,79,66,96,4,2.47,20,3.05,57,5.67,9,Business Analyst
57,19,Other,High,Urban,3,3,1,10,Ambivert,2,9,7,6.82,59,55,88,93,3,3.03,59,11.87,53,7.68,6,Researcher
58,21,Other,Medium,Rural,9,1,2,4,Extrovert,3,4,9,7.4,87,92,65,96,2,2.62,77,5.37,89,4.64,5,Researcher
59,18,Female,Low,Rural,10,3,3,2,Extrovert,10,1,10,8.07,73,96,48,72,2,3.15,7,4.24,57,4.93,9,Data Scientist
60,21,Female,Medium,Urban,5,9,6,6,Introvert,9,4,4,6.5,93,58,86,88,1,7.59,46,3.39,68,8.86,3,Entrepreneur
61,23,Male,Medium,Rural,8,5,9,5,Extrovert,3,9,5,8.37,59,76,46,45,4,6.9,35,10.12,35,4.35,5,Software Engineer
62,19,Other,High,Rural,2,7,8,3,Introvert,8,7,6,6.73,94,53,98,83,0,3.07,72,7.86,29,8.65,5,Business Analyst
63,19,Female,High,Rural,3,3,10,3,Ambivert,5,6,1,9.69,75,83,89,43,3,3.43,25,11.52,106,4.73,8,Data Scientist
64,18,Other,High,Rural,7,4,9,5,Introvert,7,2,8,9.55,79,83,85,92,0,1.89,83,8.48,52,6.68,9,Researcher
65,19,Other,Medium,Urban,10,1,8,4,Extrovert,4,4,9,8.18,76,69,47,55,2,4.73,69,5.41,37,5.98,9,Government Job
66,22,Male,Medium,Urban,4,3,7,5,Extrovert,8,1,1,7.8,93,70,41,92,4,4.41,33,10.36,105,6.0,5,Business Analyst
67,19,Male,Low,Urban,9,7,6,2,Extrovert,4,3,4,6.41,68,59,57,42,0,2.31,59,4.81,97,7.51,2,Researcher
68,21,Other,Medium,Rural,7,4,8,1,Ambivert,5,2,6,9.29,50,83,75,64,3,8.51,22,4.91,94,7.28,10,Government Job
69,21,Other,Low,Urban,1,2,6,5,Introvert,1,4,10,7.52,82,82,63,56,4,8.67,96,2.28,90,8.72,6,Business Analyst
70,24,Other,High,Rural,4,5,2,1,Ambivert,10,4,1,6.99,60,86,94,61,3,1.98,84,4.52,65,7.59,4,Software Engineer
71,21,Other,High,Rural,10,5,9,3,Introvert,8,9,3,9.98,99,46,73,57,3,3.4,40,4.61,37,7.04,9,Researcher
72,24,Male,High,Rural,6,2,9,8,Ambivert,7,7,7,8.67,83,81,81,71,4,7.62,89,4.98,65,4.88,8,Data Scientist
73,21,Female,Low,Urban,6,6,3,8,Ambivert,5,3,8,6.3,87,76,77,57,4,8.83,68,5.69,85,6.38,6,Data Scientist
74,22,Male,Medium,Urban,10,10,9,9,Extrovert,6,7,8,9.21,65,86,50,96,3,1.65,54,7.77,60,6.49,2,Data Scientist
75,24,Female,High,Urban,6,4,2,1,Ambivert,1,8,5,9.0,50,41,98,65,2,9.12,72,4.16,108,7.19,3,Government Job
76,20,Other,Medium,Urban,5,1,3,4,Ambivert,8,7,1,7.6,90,61,91,89,3,1.55,44,8.37,75,5.83,2,Data Scientist
77,23,Female,Medium,Rural,3,3,6,6,Introvert,9,8,1,6.49,77,52,49,64,4,6.7,60,3.33,30,4.73,6,Entrepreneur
78,18,Male,High,Urban,2,9,4,7,Ambivert,5,9,8,7.99,64,85,68,67,1,1.2,32,11.31,74,8.39,4,Government Job
79,21,Male,Low,Urban,3,10,8,5,Extrovert,10,1,5,9.05,65,91,88,99,0,9.35,88,2.26,46,4.16,1,Business Analyst
80,19,Other,Medium,Urban,9,7,1,7,Ambivert,7,10,9,6.3,95,77,95,79,3,4.18,51,11.08,55,4.67,9,Government Job
81,21,Male,High,Urban,3,6,6,10,Introvert,10,6,1,6.65,81,70,79,62,0,6.84,80,7.47,74,6.28,6,Business Analyst
82,19,Other,Medium,Rural,3,1,2,8,Introvert,4,4,2,8.48,88,40,45,47,3,2.66,18,9.1,35,8.44,2,Business Analyst
83,23,Male,Medium,Urban,1,9,6,10,Ambivert,6,1,4,8.24,50,86,87,52,3,3.89,74,4.98,82,4.51,3,Entrepreneur
84,23,Male,Medium,Urban,2,9,1,6,Ambivert,2,2,10,9.62,97,82,49,83,1,7.73,7,3.74,21,7.69,8,Government Job
85,23,Other,Medium,Urban,3,1,2,4,Introvert,4,10,7,9.26,58,52,69,96,4,9.76,69,11.47,105,5.43,9,Data Scientist
86,19,Female,Medium,Rural,2,6,9,1,Extrovert,5,4,4,9.68,78,99,94,86,2,9.93,5,6.41,84,4.38,9,Software Engineer
87,21,Male,Low,Urban,8,7,6,5,Ambivert,9,1,8,7.86,74,56,67,49,4,8.29,71,6.81,34,8.47,5,Data Scientist
88,23,Female,Low,Urban,6,2,8,10,Extrovert,9,6,7,9.15,60,43,68,80,0,8.62,56,11.86,58,8.86,4,Entrepreneur
89,22,Male,High,Urban,7,10,7,10,Extrovert,8,1,5,6.19,91,94,90,42,0,9.72,87,5.36,58,4.66,5,Software Engineer
90,24,Male,Low,Rural,1,8,9,10,Ambivert,4,9,7,7.18,60,82,64,49,3,1.36,59,3.0,26,8.48,1,Entrepreneur
91,19,Male,Low,Rural,6,8,9,4,Extrovert,6,10,8,8.58,55,70,75,88,4,2.53,18,7.87,73,7.24,3,Researcher
92,19,Male,Low,Urban,2,6,4,5,Introvert,7,3,3,9.05,83,94,66,54,1,1.47,51,7.55,92,5.01,9,Business Analyst
93,21,Female,Medium,Urban,6,9,7,4,Extrovert,1,1,3,8.28,99,72,73,63,2,5.51,40,9.73,48,7.36,8,Business Analyst
94,19,Female,Medium,Rural,3,3,5,9,Introvert,1,6,2,7.92,93,53,91,49,4,9.63,90,11.55,58,8.06,4,Entrepreneur
95,19,Male,High,Rural,7,2,7,3,Ambivert,4,6,4,6.93,63,60,73,91,3,6.24,83,5.08,95,6.47,1,Software Engineer
96,23,Male,High,Rural,3,2,4,3,Extrovert,3,7,4,6.7,57,61,71,60,0,6.0,87,9.22,54,8.55,3,Researcher
97,21,Female,High,Rural,9,6,10,10,Introvert,10,7,4,9.5,74,44,83,85,4,8.44,37,6.35,98,6.64,4,Researcher
98,23,Other,Medium,Rural,3,7,1,7,Introvert,4,10,2,6.57,53,94,43,98,0,9.36,68,9.84,16,4.93,4,Data Scientist
99,24,Other,Low,Urban,7,6,4,2,Ambivert,9,4,7,7.74,99,93,87,87,3,7.29,15,3.64,75,7.55,1,Data Scientist
100,24,Female,Low,Urban,4,3,10,9,Extrovert,2,5,10,9.55,80,92,73,93,0,9.06,38,7.01,35,7.38,6,Software Engineer
101,23,Male,Medium,Urban,8,5,3,8,Introvert,4,3,3,6.59,70,76,55,77,3,2.58,96,2.77,26,7.2,9,Data Scientist
102,24,Male,High,Urban,2,8,9,6,Introvert,7,6,10,6.51,94,71,99,78,2,5.53,73,7.61,91,8.4,8,Business Analyst
103,21,Other,High,Rural,8,6,5,9,Ambivert,2,7,1,8.77,81,96,86,81,1,4.28,50,3.69,79,6.64,2,Entrepreneur
104,18,Other,High,Rural,9,2,4,3,Extrovert,8,9,2,7.33,63,42,85,90,0,3.99,4,11.6,96,7.52,7,Business Analyst
105,23,Female,Medium,Rural,8,7,8,4,Extrovert,10,9,5,7.74,77,80,50,89,4,2.93,82,7.54,92,8.77,3,Researcher
106,22,Other,High,Rural,6,8,5,7,Introvert,4,5,9,8.5,74,52,54,67,2,9.05,61,7.29,109,4.69,6,Researcher
107,22,Female,High,Rural,10,4,3,1,Extrovert,9,4,4,7.52,77,50,95,80,1,5.05,40,11.72,102,5.93,2,Entrepreneur
108,19,Other,Medium,Urban,1,1,2,1,Extrovert,1,7,6,9.2,64,89,77,41,4,5.77,84,6.98,26,5.09,8,Software Engineer
109,24,Other,Low,Urban,7,2,8,1,Extrovert,7,3,3,9.88,95,81,69,80,4,3.49,66,8.77,66,5.62,4,Researcher
110,22,Other,Medium,Urban,1,4,2,8,Extrovert,1,4,9,9.73,93,94,95,97,3,9.67,58,2.47,103,6.55,6,Software Engineer
111,19,Male,Medium,Urban,7,7,8,6,Extrovert,10,9,2,8.18,71,77,66,43,1,6.5,91,9.08,114,8.23,3,Business Analyst
112,18,Male,Medium,Urban,2,2,5,3,Extrovert,9,5,8,7.42,96,63,55,82,4,1.01,18,3.04,28,6.0,1,Government Job
113,21,Male,Medium,Rural,8,6,8,10,Extrovert,10,10,3,7.73,55,48,40,88,4,3.41,79,9.8,32,6.79,2,Government Job
114,21,Other,Low,Rural,2,2,5,7,Introvert,10,7,8,7.32,51,52,64,42,4,9.99,61,10.77,38,8.06,10,Data Scientist
115,21,Female,High,Rural,3,7,1,6,Introvert,1,2,3,7.77,55,61,67,71,2,9.77,52,5.15,40,8.64,8,Entrepreneur
116,22,Female,Medium,Rural,3,2,2,5,Extrovert,3,9,4,6.05,72,57,82,97,1,5.9,65,10.78,108,5.75,6,Data Scientist
117,18,Female,Low,Rural,1,3,6,3,Extrovert,7,5,8,6.22,75,49,53,86,3,6.08,7,6.83,75,4.89,4,Software Engineer
118,22,Female,High,Urban,5,9,3,4,Ambivert,1,5,10,9.09,60,86,73,73,2,9.11,45,7.72,82,6.91,9,Government Job
119,24,Male,High,Urban,5,4,8,1,Introvert,5,4,4,7.34,50,51,95,55,2,7.38,11,6.11,78,8.48,7,Software Engineer
120,22,Male,High,Urban,10,5,5,9,Ambivert,6,8,9,9.18,77,91,87,43,2,9.39,87,6.77,54,5.24,1,Business Analyst
121,18,Other,Medium,Rural,5,9,3,5,Introvert,3,4,9,7.92,71,69,43,57,3,5.31,64,11.08,43,6.5,6,Business Analyst
122,18,Other,Medium,Rural,9,7,10,2,Ambivert,6,2,6,9.22,90,86,53,67,3,9.78,81,11.47,32,6.43,4,Software Engineer
123,24,Female,High,Rural,6,8,7,9,Ambivert,4,5,1,8.65,62,85,55,81,2,5.86,22,6.46,82,8.64,6,Business Analyst
124,18,Male,High,Rural,6,3,8,7,Ambivert,6,3,9,6.8,90,58,54,45,2,6.8,38,7.14,73,6.28,8,Entrepreneur
125,18,Female,High,Urban,3,4,4,8,Introvert,6,4,9,7.79,96,58,73,82,0,1.74,59,3.16,111,6.68,9,Researcher
126,21,Other,High,Rural,5,7,9,3,Introvert,4,3,7,8.82,99,92,52,81,3,6.5,26,5.26,70,4.69,3,Entrepreneur
127,24,Other,High,Urban,10,4,6,7,Extrovert,1,7,9,7.32,85,49,56,40,4,7.91,56,7.13,116,6.29,2,Software Engineer
128,20,Female,High,Rural,7,2,1,1,Introvert,3,6,8,6.77,71,40,67,55,1,4.95,43,4.03,80,5.71,10,Government Job
129,20,Other,Low,Urban,3,10,5,6,Introvert,10,2,9,8.16,53,96,91,76,1,5.52,69,7.77,26,5.11,7,Researcher
130,18,Female,High,Rural,2,6,5,10,Introvert,7,8,9,7.09,93,91,49,48,1,4.54,27,8.85,36,6.54,7,Software Engineer
131,20,Male,Medium,Rural,5,9,7,6,Introvert,2,5,7,8.38,90,46,86,56,2,9.72,22,8.5,76,7.85,3,Government Job
132,20,Female,Medium,Urban,3,2,7,10,Extrovert,4,6,6,7.09,67,94,56,75,3,5.29,33,6.43,40,4.88,5,Entrepreneur
133,18,Male,Medium,Urban,5,1,6,6,Extrovert,6,8,2,9.63,87,94,47,73,0,2.14,24,9.69,28,4.71,10,Government Job
134,20,Male,High,Rural,9,8,8,3,Introvert,5,7,7,7.38,66,50,41,98,0,1.26,10,5.2,23,4.62,8,Software Engineer
135,22,Other,Medium,Urban,10,1,2,6,Ambivert,6,3,1,9.63,74,92,95,70,1,7.95,47,6.69,88,7.82,3,Business Analyst
136,19,Other,Low,Rural,1,1,7,3,Ambivert,5,2,6,7.12,66,43,97,73,4,5.93,64,4.7,21,7.94,8,Software Engineer
137,24,Other,High,Rural,4,3,10,10,Introvert,9,3,6,8.42,78,75,40,76,4,1.02,9,8.04,119,8.44,3,Entrepreneur
138,19,Female,Medium,Urban,10,5,7,9,Extrovert,2,8,7,6.52,94,60,94,73,4,4.44,72,6.41,61,8.82,4,Government Job
139,18,Female,Low,Rural,5,9,4,7,Ambivert,4,4,2,9.11,93,61,94,84,4,9.23,25,4.17,72,5.89,3,Business Analyst
140,21,Other,Low,Rural,2,10,10,4,Extrovert,1,8,4,6.8,95,49,44,76,0,9.53,9,5.08,34,5.7,5,Researcher
141,24,Female,Medium,Urban,2,2,2,3,Extrovert,7,4,2,9.46,57,62,74,40,0,1.48,17,4.79,93,8.96,8,Entrepreneur
142,18,Other,Low,Rural,1,1,4,6,Ambivert,1,7,4,7.81,78,44,61,92,3,2.11,59,11.11,70,4.71,5,Data Scientist
143,21,Female,Medium,Rural,8,1,4,9,Introvert,6,6,3,6.38,64,87,82,54,0,1.04,72,7.22,57,4.21,7,Data Scientist
144,19,Male,Low,Rural,2,8,6,3,Extrovert,10,10,2,7.45,90,99,55,70,3,8.82,44,8.53,112,5.93,4,Entrepreneur
145,18,Male,High,Rural,3,10,7,8,Ambivert,10,1,2,9.12,82,51,92,90,3,1.64,25,11.35,74,4.44,10,Entrepreneur
146,24,Other,High,Urban,2,10,3,6,Extrovert,9,8,3,6.31,98,96,48,53,2,1.97,8,3.82,66,5.92,2,Data Scientist
147,24,Female,High,Urban,4,10,10,4,Ambivert,2,6,10,8.5,59,69,75,83,0,3.05,35,11.37,102,6.06,6,Data Scientist
148,23,Female,High,Urban,1,2,1,5,Introvert,1,2,4,8.03,86,96,48,73,4,9.26,14,7.4,80,7.19,5,Government Job
149,22,Male,High,Rural,3,9,3,3,Introvert,10,5,7,7.24,60,72,53,98,1,7.19,23,10.56,34,7.72,8,Data Scientist
150,20,Male,Medium,Urban,5,9,9,2,Introvert,3,2,4,9.02,84,76,49,91,3,6.55,39,3.68,27,7.24,8,Entrepreneur
151,21,Other,High,Urban,10,2,1,9,Extrovert,6,10,7,6.21,83,57,61,40,1,8.06,1,4.73,39,7.54,1,Government Job
152,23,Male,High,Urban,1,3,8,3,Introvert,7,7,4,7.99,81,43,55,74,4,7.24,3,3.94,50,5.84,8,Business Analyst
153,20,Other,High,Rural,4,2,2,6,Introvert,8,10,3,8.03,71,66,80,50,3,7.71,94,8.53,17,6.28,3,Software Engineer
154,20,Male,High,Urban,6,6,6,5,Introvert,4,6,8,6.35,53,86,42,56,3,1.66,19,3.41,61,7.57,2,Government Job
155,18,Male,Low,Urban,4,7,3,10,Introvert,8,7,3,6.54,51,62,67,95,0,6.31,38,9.93,26,4.74,10,Government Job
156,20,Female,High,Rural,7,6,7,8,Ambivert,7,6,8,7.64,82,97,69,44,2,7.78,44,4.5,74,7.56,4,Software Engineer
157,22,Male,High,Rural,7,3,2,5,Ambivert,8,10,2,8.15,58,45,68,56,1,6.09,25,4.55,111,8.76,10,Business Analyst
158,24,Male,Medium,Rural,6,3,4,8,Extrovert,5,1,3,6.21,84,46,40,57,4,1.11,59,4.81,42,4.88,8,Software Engineer
159,23,Other,Low,Rural,9,2,10,5,Ambivert,10,3,4,6.05,87,58,67,64,2,2.9,68,9.46,89,5.97,5,Government Job
160,20,Male,Medium,Rural,2,2,9,10,Ambivert,7,10,3,6.77,80,85,61,94,2,9.67,67,11.24,95,6.91,7,Business Analyst
161,18,Other,High,Rural,10,5,6,6,Ambivert,4,2,6,7.95,63,54,71,74,0,7.34,85,11.08,118,7.59,8,Business Analyst
162,22,Male,Medium,Urban,8,8,4,5,Ambivert,1,1,9,6.16,80,92,91,86,3,7.2,69,3.01,28,5.26,3,Software Engineer
163,19,Male,Medium,Urban,8,6,2,2,Ambivert,3,1,10,8.93,82,87,50,55,4,6.94,30,4.62,45,6.92,7,Software Engineer
164,24,Other,High,Rural,10,9,10,10,Introvert,10,4,8,6.61,93,61,65,86,2,2.15,68,8.72,83,8.68,7,Software Engineer
165,24,Female,Low,Rural,4,5,9,10,Extrovert,9,1,4,9.09,65,71,70,88,2,1.04,6,8.19,80,5.79,9,Researcher
166,23,Other,Low,Urban,6,10,4,6,Ambivert,4,2,2,6.82,69,54,59,89,1,4.97,68,5.5,74,6.85,3,Software Engineer
167,24,Other,Medium,Rural,6,4,9,7,Ambivert,5,1,10,7.39,99,98,59,62,4,5.0,3,10.63,117,7.12,6,Entrepreneur
168,20,Other,High,Rural,5,9,2,3,Extrovert,3,6,1,7.92,63,45,72,79,4,8.31,90,3.3,91,8.44,7,Entrepreneur
169,18,Female,Medium,Urban,1,10,7,3,Ambivert,6,4,4,7.39,84,45,44,60,2,2.63,72,8.39,34,5.55,9,Researcher
170,24,Male,Medium,Rural,3,5,5,7,Ambivert,4,8,5,6.09,95,96,80,68,3,3.48,36,4.73,25,8.36,4,Entrepreneur
171,24,Other,Medium,Rural,7,1,8,10,Extrovert,5,5,2,9.63,98,45,42,99,4,1.7,1,7.27,92,7.37,4,Software Engineer
172,19,Other,High,Urban,8,5,8,4,Introvert,7,10,3,7.15,94,51,83,85,4,4.6,48,5.87,18,7.58,5,Researcher
173,19,Female,High,Urban,2,5,4,2,Introvert,7,5,4,6.54,82,41,89,75,1,3.3,82,11.8,66,4.33,10,Government Job
174,21,Other,Low,Urban,3,5,4,9,Extrovert,9,8,3,6.53,78,64,99,49,1,3.37,16,6.87,61,5.78,5,Data Scientist
175,22,Male,High,Urban,4,2,8,9,Introvert,2,10,8,9.9,57,43,73,59,1,3.29,16,11.76,81,4.59,1,Government Job
176,20,Female,Medium,Urban,5,6,3,6,Introvert,4,6,2,6.49,83,94,70,92,3,3.08,39,4.55,25,6.81,8,Data Scientist
177,24,Male,Medium,Rural,3,5,7,2,Introvert,8,6,9,7.39,96,45,81,46,3,3.88,50,9.68,64,8.19,8,Business Analyst
178,24,Male,Low,Rural,5,2,8,3,Introvert,4,3,6,6.27,63,96,46,69,4,5.83,87,9.17,103,6.05,9,Software Engineer
179,18,Female,High,Rural,8,10,8,5,Ambivert,3,6,1,8.94,63,81,69,68,3,4.94,76,10.48,37,5.13,3,Business Analyst
180,21,Other,Medium,Rural,8,8,10,5,Extrovert,10,10,8,8.39,99,90,93,94,1,1.57,27,8.94,95,5.52,6,Data Scientist
181,22,Male,Low,Rural,2,6,4,9,Introvert,6,7,10,8.13,64,95,57,91,3,4.83,45,8.82,76,6.87,10,Entrepreneur
182,21,Male,Low,Urban,6,10,9,10,Introvert,3,2,6,9.42,91,76,55,40,4,8.62,77,8.61,67,7.84,9,Researcher
183,23,Male,Medium,Rural,4,3,10,3,Extrovert,2,3,4,8.29,99,77,52,60,2,1.91,86,11.85,109,7.45,4,Data Scientist
184,22,Male,Medium,Rural,9,9,4,2,Ambivert,9,6,6,9.82,69,53,72,46,0,9.5,86,4.28,28,8.71,9,Business Analyst
185,24,Female,High,Rural,10,4,8,10,Introvert,3,10,2,8.49,77,86,46,83,3,3.78,73,2.3,61,8.42,6,Entrepreneur
186,24,Female,Low,Rural,2,3,6,8,Introvert,1,9,1,7.42,53,58,69,43,2,1.13,48,8.78,32,4.52,4,Researcher
187,22,Male,Medium,Rural,8,7,5,7,Ambivert,9,9,6,6.15,56,90,50,78,4,3.28,16,3.72,81,7.52,6,Government Job
188,24,Other,Low,Urban,1,8,4,9,Extrovert,5,8,8,8.9,51,46,45,95,2,1.63,26,8.79,113,5.97,6,Entrepreneur
